cell_id,product_id,city,pricing_action,agree_with_cut
477780_Ahmedabad,477780,Ahmedabad,cut,False
776844_Ahmedabad,776844,Ahmedabad,cut,False
477780_Bangalore,477780,Bangalore,cut,False
487596_Bangalore,487596,Bangalore,cut,False
776844_Bangalore,776844,Bangalore,cut,False
477780_Chennai,477780,Chennai,cut,False
776844_Chennai,776844,Chennai,cut,False
477780_Delhi-NCR,477780,Delhi-NCR,cut,False
776844_Delhi-NCR,776844,Delhi-NCR,cut,False
477780_Hyderabad,477780,Hyderabad,cut,False
487596_Hyderabad,487596,Hyderabad,cut,False
776844_Hyderabad,776844,Hyderabad,cut,False
477780_Kolkata,477780,Kolkata,cut,False
487596_Kolkata,487596,Kolkata,cut,False
496631_Kolkata,496631,Kolkata,cut,False
776844_Kolkata,776844,Kolkata,cut,False
477780_Lucknow,477780,Lucknow,cut,False
776844_Lucknow,776844,Lucknow,cut,False
477780_Mumbai,477780,Mumbai,cut,False
487596_Mumbai,487596,Mumbai,cut,False
776844_Mumbai,776844,Mumbai,cut,False
477780_Others,477780,Others,cut,False
776844_Others,776844,Others,cut,False
776844_Pune,776844,Pune,cut,False
477797_Ahmedabad,477797,Ahmedabad,hold,False
477797_Bangalore,477797,Bangalore,hold,False
477797_Chennai,477797,Chennai,hold,False
477797_Delhi-NCR,477797,Delhi-NCR,hold,False
477797_Mumbai,477797,Mumbai,hold,False
477797_Others,477797,Others,hold,False
777456_Ahmedabad,777456,Ahmedabad,hold,False
777456_Bangalore,777456,Bangalore,hold,False
777456_Chennai,777456,Chennai,hold,False
777456_Delhi-NCR,777456,Delhi-NCR,hold,False
777456_Hyderabad,777456,Hyderabad,hold,False
777456_Kolkata,777456,Kolkata,hold,False
777456_Lucknow,777456,Lucknow,hold,False
777456_Mumbai,777456,Mumbai,hold,False
777456_Others,777456,Others,hold,False
777456_Pune,777456,Pune,hold,False
477784_Ahmedabad,477784,Ahmedabad,hold,False
477785_Ahmedabad,477785,Ahmedabad,hold,False
