budget_change_pct,mode,spend_mo,spend_delta_mo,weighted_disc_pct,sales_units_delta_pct,sales_units_delta_pct_least,sales_units_delta_pct_most,revenue_delta_pct,net_revenue_delta_mo,profit_delta_mo,cells_moved,cells_below_observed_range,target_hit
2.0,uniform,5443122,106728,3.34,-0.194,-0.194,0.037,-0.408,-645943,-242155,134,0,True
2.0,smart,5434645,98250,3.32,-0.042,-0.042,0.217,-0.163,-258015,-131422,33,0,True
-2.0,uniform,5229666,-106728,3.19,0.066,0.123,-0.024,0.175,277821,137876,220,82,True
-2.0,smart,5229666,-106728,3.14,1.055,1.3,0.69,1.88,2976591,891980,84,0,True
-4.0,uniform,5122938,-213456,3.12,0.131,0.244,-0.047,0.349,553460,275142,363,220,True
-4.0,smart,5122938,-213456,3.08,1.029,1.313,0.606,1.903,3013138,963116,84,0,True
-6.0,uniform,5016211,-320184,3.05,0.196,0.365,-0.07,0.522,827059,411838,409,267,True
-6.0,smart,5016211,-320184,3.01,1.004,1.327,0.526,1.926,3050560,1034497,84,0,True
-8.0,uniform,4909483,-426912,2.99,0.26,0.484,-0.092,0.694,1098686,547985,409,269,True
-8.0,smart,4909483,-426912,2.95,0.979,1.341,0.448,1.95,3088895,1106132,84,0,True
-10.0,uniform,4802755,-533639,2.92,0.323,0.603,-0.114,0.864,1368411,683600,409,271,True
-10.0,smart,4802755,-533639,2.89,0.952,1.353,0.366,1.973,3124523,1177019,85,0,True
