product_i,product_j,city,cross_elast
477780,776844,Ahmedabad,0.1493
776844,477780,Ahmedabad,0.1493
477780,487596,Bangalore,0.0746
477780,776844,Bangalore,0.0746
487596,477780,Bangalore,0.0746
487596,776844,Bangalore,0.0746
776844,477780,Bangalore,0.0746
776844,487596,Bangalore,0.0746
477780,776844,Chennai,0.1493
776844,477780,Chennai,0.1493
477780,776844,Delhi-NCR,0.1493
776844,477780,Delhi-NCR,0.1493
477780,487596,Hyderabad,0.0746
477780,776844,Hyderabad,0.0746
487596,477780,Hyderabad,0.0746
487596,776844,Hyderabad,0.0746
776844,477780,Hyderabad,0.0746
776844,487596,Hyderabad,0.0746
477780,487596,Kolkata,0.0498
477780,496631,Kolkata,0.0498
477780,776844,Kolkata,0.0498
487596,477780,Kolkata,0.0498
487596,496631,Kolkata,0.0498
487596,776844,Kolkata,0.0498
496631,477780,Kolkata,0.0498
496631,487596,Kolkata,0.0498
496631,776844,Kolkata,0.0498
776844,477780,Kolkata,0.0498
776844,487596,Kolkata,0.0498
776844,496631,Kolkata,0.0498
477780,776844,Lucknow,0.1493
776844,477780,Lucknow,0.1493
477780,487596,Mumbai,0.0746
477780,776844,Mumbai,0.0746
487596,477780,Mumbai,0.0746
487596,776844,Mumbai,0.0746
776844,477780,Mumbai,0.0746
776844,487596,Mumbai,0.0746
477780,776844,Others,0.1493
776844,477780,Others,0.1493
477784,477785,Ahmedabad,0.075
477784,477786,Ahmedabad,0.075
477785,477784,Ahmedabad,0.075
477785,477786,Ahmedabad,0.075
477786,477784,Ahmedabad,0.075
477786,477785,Ahmedabad,0.075
477784,477785,Bangalore,0.05
477784,477786,Bangalore,0.05
477784,487773,Bangalore,0.05
477785,477784,Bangalore,0.05
477785,477786,Bangalore,0.05
477785,487773,Bangalore,0.05
477786,477784,Bangalore,0.05
477786,477785,Bangalore,0.05
477786,487773,Bangalore,0.05
487773,477784,Bangalore,0.05
487773,477785,Bangalore,0.05
487773,477786,Bangalore,0.05
477784,477785,Chennai,0.075
477784,477786,Chennai,0.075
477785,477784,Chennai,0.075
477785,477786,Chennai,0.075
477786,477784,Chennai,0.075
477786,477785,Chennai,0.075
477784,477785,Delhi-NCR,0.075
477784,477786,Delhi-NCR,0.075
477785,477784,Delhi-NCR,0.075
477785,477786,Delhi-NCR,0.075
477786,477784,Delhi-NCR,0.075
477786,477785,Delhi-NCR,0.075
477784,477785,Hyderabad,0.0375
477784,477786,Hyderabad,0.0375
477784,487773,Hyderabad,0.0375
477784,487774,Hyderabad,0.0375
477785,477784,Hyderabad,0.0375
477785,477786,Hyderabad,0.0375
477785,487773,Hyderabad,0.0375
477785,487774,Hyderabad,0.0375
477786,477784,Hyderabad,0.0375
477786,477785,Hyderabad,0.0375
477786,487773,Hyderabad,0.0375
477786,487774,Hyderabad,0.0375
487773,477784,Hyderabad,0.0375
487773,477785,Hyderabad,0.0375
487773,477786,Hyderabad,0.0375
487773,487774,Hyderabad,0.0375
487774,477784,Hyderabad,0.0375
487774,477785,Hyderabad,0.0375
487774,477786,Hyderabad,0.0375
487774,487773,Hyderabad,0.0375
477784,477785,Kolkata,0.075
477784,477786,Kolkata,0.075
477785,477784,Kolkata,0.075
477785,477786,Kolkata,0.075
477786,477784,Kolkata,0.075
477786,477785,Kolkata,0.075
477784,477785,Lucknow,0.05
477784,477786,Lucknow,0.05
477784,487774,Lucknow,0.05
477785,477784,Lucknow,0.05
477785,477786,Lucknow,0.05
477785,487774,Lucknow,0.05
477786,477784,Lucknow,0.05
477786,477785,Lucknow,0.05
477786,487774,Lucknow,0.05
487774,477784,Lucknow,0.05
487774,477785,Lucknow,0.05
487774,477786,Lucknow,0.05
477784,477785,Mumbai,0.0375
477784,477786,Mumbai,0.0375
477784,487773,Mumbai,0.0375
477784,496627,Mumbai,0.0375
477785,477784,Mumbai,0.0375
477785,477786,Mumbai,0.0375
477785,487773,Mumbai,0.0375
477785,496627,Mumbai,0.0375
477786,477784,Mumbai,0.0375
477786,477785,Mumbai,0.0375
477786,487773,Mumbai,0.0375
477786,496627,Mumbai,0.0375
487773,477784,Mumbai,0.0375
487773,477785,Mumbai,0.0375
487773,477786,Mumbai,0.0375
487773,496627,Mumbai,0.0375
496627,477784,Mumbai,0.0375
496627,477785,Mumbai,0.0375
496627,477786,Mumbai,0.0375
496627,487773,Mumbai,0.0375
477784,477785,Others,0.075
477784,477786,Others,0.075
477785,477784,Others,0.075
477785,477786,Others,0.075
477786,477784,Others,0.075
477786,477785,Others,0.075
477784,477785,Pune,0.075
477784,477786,Pune,0.075
477785,477784,Pune,0.075
477785,477786,Pune,0.075
477786,477784,Pune,0.075
477786,477785,Pune,0.075
472127,566324,Ahmedabad,0.075
472127,624624,Ahmedabad,0.075
566324,472127,Ahmedabad,0.075
566324,624624,Ahmedabad,0.075
624624,472127,Ahmedabad,0.075
624624,566324,Ahmedabad,0.075
472127,566324,Bangalore,0.15
566324,472127,Bangalore,0.15
472127,566324,Chennai,0.15
566324,472127,Chennai,0.15
472127,566324,Delhi-NCR,0.15
566324,472127,Delhi-NCR,0.15
472127,566324,Hyderabad,0.15
566324,472127,Hyderabad,0.15
472127,566324,Kolkata,0.15
566324,472127,Kolkata,0.15
472127,566324,Lucknow,0.075
472127,624624,Lucknow,0.075
566324,472127,Lucknow,0.075
566324,624624,Lucknow,0.075
624624,472127,Lucknow,0.075
624624,566324,Lucknow,0.075
472127,566324,Mumbai,0.15
566324,472127,Mumbai,0.15
472127,566324,Others,0.075
472127,624624,Others,0.075
566324,472127,Others,0.075
566324,624624,Others,0.075
624624,472127,Others,0.075
624624,566324,Others,0.075
472127,566324,Pune,0.075
472127,624624,Pune,0.075
566324,472127,Pune,0.075
566324,624624,Pune,0.075
624624,472127,Pune,0.075
624624,566324,Pune,0.075
540432,540438,Ahmedabad,0.0259
540432,541681,Ahmedabad,0.0259
540432,543783,Ahmedabad,0.0259
540432,543784,Ahmedabad,0.0259
540432,553767,Ahmedabad,0.0259
540432,553768,Ahmedabad,0.0259
540432,560813,Ahmedabad,0.0259
540432,572518,Ahmedabad,0.0259
540438,540432,Ahmedabad,0.0259
540438,541681,Ahmedabad,0.0259
540438,543783,Ahmedabad,0.0259
540438,543784,Ahmedabad,0.0259
540438,553767,Ahmedabad,0.0259
540438,553768,Ahmedabad,0.0259
540438,560813,Ahmedabad,0.0259
540438,572518,Ahmedabad,0.0259
541681,540432,Ahmedabad,0.0259
541681,540438,Ahmedabad,0.0259
541681,543783,Ahmedabad,0.0259
541681,543784,Ahmedabad,0.0259
541681,553767,Ahmedabad,0.0259
541681,553768,Ahmedabad,0.0259
541681,560813,Ahmedabad,0.0259
541681,572518,Ahmedabad,0.0259
543783,540432,Ahmedabad,0.0259
543783,540438,Ahmedabad,0.0259
543783,541681,Ahmedabad,0.0259
543783,543784,Ahmedabad,0.0259
543783,553767,Ahmedabad,0.0259
543783,553768,Ahmedabad,0.0259
543783,560813,Ahmedabad,0.0259
543783,572518,Ahmedabad,0.0259
543784,540432,Ahmedabad,0.0259
543784,540438,Ahmedabad,0.0259
543784,541681,Ahmedabad,0.0259
543784,543783,Ahmedabad,0.0259
543784,553767,Ahmedabad,0.0259
543784,553768,Ahmedabad,0.0259
543784,560813,Ahmedabad,0.0259
543784,572518,Ahmedabad,0.0259
553767,540432,Ahmedabad,0.0259
553767,540438,Ahmedabad,0.0259
553767,541681,Ahmedabad,0.0259
553767,543783,Ahmedabad,0.0259
553767,543784,Ahmedabad,0.0259
553767,553768,Ahmedabad,0.0259
553767,560813,Ahmedabad,0.0259
553767,572518,Ahmedabad,0.0259
553768,540432,Ahmedabad,0.0259
553768,540438,Ahmedabad,0.0259
553768,541681,Ahmedabad,0.0259
553768,543783,Ahmedabad,0.0259
553768,543784,Ahmedabad,0.0259
553768,553767,Ahmedabad,0.0259
553768,560813,Ahmedabad,0.0259
553768,572518,Ahmedabad,0.0259
560813,540432,Ahmedabad,0.0259
560813,540438,Ahmedabad,0.0259
560813,541681,Ahmedabad,0.0259
560813,543783,Ahmedabad,0.0259
560813,543784,Ahmedabad,0.0259
560813,553767,Ahmedabad,0.0259
560813,553768,Ahmedabad,0.0259
560813,572518,Ahmedabad,0.0259
572518,540432,Ahmedabad,0.0259
572518,540438,Ahmedabad,0.0259
572518,541681,Ahmedabad,0.0259
572518,543783,Ahmedabad,0.0259
572518,543784,Ahmedabad,0.0259
572518,553767,Ahmedabad,0.0259
572518,553768,Ahmedabad,0.0259
572518,560813,Ahmedabad,0.0259
540432,540438,Bangalore,0.0259
540432,541681,Bangalore,0.0259
540432,543783,Bangalore,0.0259
540432,543784,Bangalore,0.0259
540432,553767,Bangalore,0.0259
540432,553768,Bangalore,0.0259
540432,560813,Bangalore,0.0259
540432,572518,Bangalore,0.0259
540438,540432,Bangalore,0.0259
540438,541681,Bangalore,0.0259
540438,543783,Bangalore,0.0259
540438,543784,Bangalore,0.0259
540438,553767,Bangalore,0.0259
540438,553768,Bangalore,0.0259
540438,560813,Bangalore,0.0259
540438,572518,Bangalore,0.0259
541681,540432,Bangalore,0.0259
541681,540438,Bangalore,0.0259
541681,543783,Bangalore,0.0259
541681,543784,Bangalore,0.0259
541681,553767,Bangalore,0.0259
541681,553768,Bangalore,0.0259
541681,560813,Bangalore,0.0259
541681,572518,Bangalore,0.0259
543783,540432,Bangalore,0.0259
543783,540438,Bangalore,0.0259
543783,541681,Bangalore,0.0259
543783,543784,Bangalore,0.0259
543783,553767,Bangalore,0.0259
543783,553768,Bangalore,0.0259
543783,560813,Bangalore,0.0259
543783,572518,Bangalore,0.0259
543784,540432,Bangalore,0.0259
543784,540438,Bangalore,0.0259
543784,541681,Bangalore,0.0259
543784,543783,Bangalore,0.0259
543784,553767,Bangalore,0.0259
543784,553768,Bangalore,0.0259
543784,560813,Bangalore,0.0259
543784,572518,Bangalore,0.0259
553767,540432,Bangalore,0.0259
553767,540438,Bangalore,0.0259
553767,541681,Bangalore,0.0259
553767,543783,Bangalore,0.0259
553767,543784,Bangalore,0.0259
553767,553768,Bangalore,0.0259
553767,560813,Bangalore,0.0259
553767,572518,Bangalore,0.0259
553768,540432,Bangalore,0.0259
553768,540438,Bangalore,0.0259
553768,541681,Bangalore,0.0259
553768,543783,Bangalore,0.0259
553768,543784,Bangalore,0.0259
553768,553767,Bangalore,0.0259
553768,560813,Bangalore,0.0259
553768,572518,Bangalore,0.0259
560813,540432,Bangalore,0.0259
560813,540438,Bangalore,0.0259
560813,541681,Bangalore,0.0259
560813,543783,Bangalore,0.0259
560813,543784,Bangalore,0.0259
560813,553767,Bangalore,0.0259
560813,553768,Bangalore,0.0259
560813,572518,Bangalore,0.0259
572518,540432,Bangalore,0.0259
572518,540438,Bangalore,0.0259
572518,541681,Bangalore,0.0259
572518,543783,Bangalore,0.0259
572518,543784,Bangalore,0.0259
572518,553767,Bangalore,0.0259
572518,553768,Bangalore,0.0259
572518,560813,Bangalore,0.0259
540432,540438,Chennai,0.0259
540432,541681,Chennai,0.0259
540432,543783,Chennai,0.0259
540432,543784,Chennai,0.0259
540432,553767,Chennai,0.0259
540432,553768,Chennai,0.0259
540432,560813,Chennai,0.0259
540432,572518,Chennai,0.0259
540438,540432,Chennai,0.0259
540438,541681,Chennai,0.0259
540438,543783,Chennai,0.0259
540438,543784,Chennai,0.0259
540438,553767,Chennai,0.0259
540438,553768,Chennai,0.0259
540438,560813,Chennai,0.0259
540438,572518,Chennai,0.0259
541681,540432,Chennai,0.0259
541681,540438,Chennai,0.0259
541681,543783,Chennai,0.0259
541681,543784,Chennai,0.0259
541681,553767,Chennai,0.0259
541681,553768,Chennai,0.0259
541681,560813,Chennai,0.0259
541681,572518,Chennai,0.0259
543783,540432,Chennai,0.0259
543783,540438,Chennai,0.0259
543783,541681,Chennai,0.0259
543783,543784,Chennai,0.0259
543783,553767,Chennai,0.0259
543783,553768,Chennai,0.0259
543783,560813,Chennai,0.0259
543783,572518,Chennai,0.0259
543784,540432,Chennai,0.0259
543784,540438,Chennai,0.0259
543784,541681,Chennai,0.0259
543784,543783,Chennai,0.0259
543784,553767,Chennai,0.0259
543784,553768,Chennai,0.0259
543784,560813,Chennai,0.0259
543784,572518,Chennai,0.0259
553767,540432,Chennai,0.0259
553767,540438,Chennai,0.0259
553767,541681,Chennai,0.0259
553767,543783,Chennai,0.0259
553767,543784,Chennai,0.0259
553767,553768,Chennai,0.0259
553767,560813,Chennai,0.0259
553767,572518,Chennai,0.0259
553768,540432,Chennai,0.0259
553768,540438,Chennai,0.0259
553768,541681,Chennai,0.0259
553768,543783,Chennai,0.0259
553768,543784,Chennai,0.0259
553768,553767,Chennai,0.0259
553768,560813,Chennai,0.0259
553768,572518,Chennai,0.0259
560813,540432,Chennai,0.0259
560813,540438,Chennai,0.0259
560813,541681,Chennai,0.0259
560813,543783,Chennai,0.0259
560813,543784,Chennai,0.0259
560813,553767,Chennai,0.0259
560813,553768,Chennai,0.0259
560813,572518,Chennai,0.0259
572518,540432,Chennai,0.0259
572518,540438,Chennai,0.0259
572518,541681,Chennai,0.0259
572518,543783,Chennai,0.0259
572518,543784,Chennai,0.0259
572518,553767,Chennai,0.0259
572518,553768,Chennai,0.0259
572518,560813,Chennai,0.0259
540432,540438,Delhi-NCR,0.0207
540432,541681,Delhi-NCR,0.0207
540432,543783,Delhi-NCR,0.0207
540432,543784,Delhi-NCR,0.0207
540432,553767,Delhi-NCR,0.0207
540432,553768,Delhi-NCR,0.0207
540432,560813,Delhi-NCR,0.0207
540432,572518,Delhi-NCR,0.0207
540432,750931,Delhi-NCR,0.0207
540432,751647,Delhi-NCR,0.0207
540438,540432,Delhi-NCR,0.0207
540438,541681,Delhi-NCR,0.0207
540438,543783,Delhi-NCR,0.0207
540438,543784,Delhi-NCR,0.0207
540438,553767,Delhi-NCR,0.0207
540438,553768,Delhi-NCR,0.0207
540438,560813,Delhi-NCR,0.0207
540438,572518,Delhi-NCR,0.0207
540438,750931,Delhi-NCR,0.0207
540438,751647,Delhi-NCR,0.0207
541681,540432,Delhi-NCR,0.0207
541681,540438,Delhi-NCR,0.0207
541681,543783,Delhi-NCR,0.0207
541681,543784,Delhi-NCR,0.0207
541681,553767,Delhi-NCR,0.0207
541681,553768,Delhi-NCR,0.0207
541681,560813,Delhi-NCR,0.0207
541681,572518,Delhi-NCR,0.0207
541681,750931,Delhi-NCR,0.0207
541681,751647,Delhi-NCR,0.0207
543783,540432,Delhi-NCR,0.0207
543783,540438,Delhi-NCR,0.0207
543783,541681,Delhi-NCR,0.0207
543783,543784,Delhi-NCR,0.0207
543783,553767,Delhi-NCR,0.0207
543783,553768,Delhi-NCR,0.0207
543783,560813,Delhi-NCR,0.0207
543783,572518,Delhi-NCR,0.0207
543783,750931,Delhi-NCR,0.0207
543783,751647,Delhi-NCR,0.0207
543784,540432,Delhi-NCR,0.0207
543784,540438,Delhi-NCR,0.0207
543784,541681,Delhi-NCR,0.0207
543784,543783,Delhi-NCR,0.0207
543784,553767,Delhi-NCR,0.0207
543784,553768,Delhi-NCR,0.0207
543784,560813,Delhi-NCR,0.0207
543784,572518,Delhi-NCR,0.0207
543784,750931,Delhi-NCR,0.0207
543784,751647,Delhi-NCR,0.0207
553767,540432,Delhi-NCR,0.0207
553767,540438,Delhi-NCR,0.0207
553767,541681,Delhi-NCR,0.0207
553767,543783,Delhi-NCR,0.0207
553767,543784,Delhi-NCR,0.0207
553767,553768,Delhi-NCR,0.0207
553767,560813,Delhi-NCR,0.0207
553767,572518,Delhi-NCR,0.0207
553767,750931,Delhi-NCR,0.0207
553767,751647,Delhi-NCR,0.0207
553768,540432,Delhi-NCR,0.0207
553768,540438,Delhi-NCR,0.0207
553768,541681,Delhi-NCR,0.0207
553768,543783,Delhi-NCR,0.0207
553768,543784,Delhi-NCR,0.0207
553768,553767,Delhi-NCR,0.0207
553768,560813,Delhi-NCR,0.0207
553768,572518,Delhi-NCR,0.0207
553768,750931,Delhi-NCR,0.0207
553768,751647,Delhi-NCR,0.0207
560813,540432,Delhi-NCR,0.0207
560813,540438,Delhi-NCR,0.0207
560813,541681,Delhi-NCR,0.0207
560813,543783,Delhi-NCR,0.0207
560813,543784,Delhi-NCR,0.0207
560813,553767,Delhi-NCR,0.0207
560813,553768,Delhi-NCR,0.0207
560813,572518,Delhi-NCR,0.0207
560813,750931,Delhi-NCR,0.0207
560813,751647,Delhi-NCR,0.0207
572518,540432,Delhi-NCR,0.0207
572518,540438,Delhi-NCR,0.0207
572518,541681,Delhi-NCR,0.0207
572518,543783,Delhi-NCR,0.0207
572518,543784,Delhi-NCR,0.0207
572518,553767,Delhi-NCR,0.0207
572518,553768,Delhi-NCR,0.0207
572518,560813,Delhi-NCR,0.0207
572518,750931,Delhi-NCR,0.0207
572518,751647,Delhi-NCR,0.0207
750931,540432,Delhi-NCR,0.0207
750931,540438,Delhi-NCR,0.0207
750931,541681,Delhi-NCR,0.0207
750931,543783,Delhi-NCR,0.0207
750931,543784,Delhi-NCR,0.0207
750931,553767,Delhi-NCR,0.0207
750931,553768,Delhi-NCR,0.0207
750931,560813,Delhi-NCR,0.0207
750931,572518,Delhi-NCR,0.0207
750931,751647,Delhi-NCR,0.0207
751647,540432,Delhi-NCR,0.0207
751647,540438,Delhi-NCR,0.0207
751647,541681,Delhi-NCR,0.0207
751647,543783,Delhi-NCR,0.0207
751647,543784,Delhi-NCR,0.0207
751647,553767,Delhi-NCR,0.0207
751647,553768,Delhi-NCR,0.0207
751647,560813,Delhi-NCR,0.0207
751647,572518,Delhi-NCR,0.0207
751647,750931,Delhi-NCR,0.0207
