product_id,city,base_disc,opt_disc,base_price,opt_price,pred_units_delta_pct,pred_rev_delta_pct
477780,Ahmedabad,19.7444,16.7444,232.7412,241.4412,0.2407,3.9877
776844,Ahmedabad,22.4561,19.4561,58.1579,60.4079,-0.0127,3.8556
477780,Bangalore,19.705,16.705,232.8556,241.5556,1.1861,4.9667
487596,Bangalore,20.9343,17.9343,457.0,474.34,0.0,0.0
776844,Bangalore,20.7481,17.7481,59.4389,61.6889,1.0898,4.9164
477780,Chennai,19.7232,16.7232,232.8028,241.5028,-0.1734,3.5572
776844,Chennai,12.973,9.973,65.2703,67.5203,0.3896,3.8502
477780,Delhi-NCR,19.7232,16.7232,232.8028,241.5028,0.7762,4.5423
776844,Delhi-NCR,32.0,29.0,51.0,53.25,-0.5282,3.8602
477780,Hyderabad,19.6628,16.6628,232.9779,241.6779,1.811,5.6129
487596,Hyderabad,20.9343,17.9343,457.0,474.34,0.0,0.0
776844,Hyderabad,32.0,29.0,51.0,53.25,0.4877,4.921
477780,Kolkata,19.7232,16.7232,232.8028,241.5028,1.1717,4.9525
487596,Kolkata,20.9343,17.9343,457.0,474.34,0.0,0.0
496631,Kolkata,21.9146,18.9146,677.0,703.01,0.0,0.0
776844,Kolkata,16.2222,13.2222,62.8333,65.0833,1.4785,5.1123
477780,Lucknow,19.7232,16.7232,232.8028,241.5028,0.7762,4.5423
776844,Lucknow,32.0,29.0,51.0,53.25,-0.5282,3.8602
477780,Mumbai,19.7225,16.7225,232.8048,241.5048,1.8083,5.6129
487596,Mumbai,20.9343,17.9343,457.0,474.34,0.0,0.0
776844,Mumbai,32.0,29.0,51.0,53.25,0.4904,4.9238
477780,Others,19.7246,16.7246,232.7987,241.4987,0.7767,4.5429
776844,Others,32.0,29.0,51.0,53.25,-0.5282,3.8603
776844,Pune,32.0,29.0,51.0,53.25,-4.1823,0.0449
477797,Ahmedabad,0.0,0.0,100.0,100.0,0.0,0.0
477797,Bangalore,0.0,0.0,100.0,100.0,0.0,0.0
477797,Chennai,0.0,0.0,100.0,100.0,0.0,0.0
477797,Delhi-NCR,0.0,0.0,100.0,100.0,0.0,0.0
477797,Mumbai,0.0,0.0,100.0,100.0,0.0,0.0
477797,Others,0.0,0.0,100.0,100.0,0.0,0.0
777456,Ahmedabad,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Bangalore,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Chennai,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Delhi-NCR,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Hyderabad,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Kolkata,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Lucknow,10.1604,10.1602,80.8557,80.8558,-0.0002,-0.0
777456,Mumbai,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Others,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
777456,Pune,10.0,9.9998,81.0,81.0002,-0.0002,-0.0
477784,Ahmedabad,0.0,0.0,38.0,38.0,0.0,0.0
477785,Ahmedabad,0.0,0.0,38.0,38.0,0.0,0.0
477786,Ahmedabad,0.0,0.0,38.0,38.0,0.0,0.0
477784,Bangalore,0.0,0.0,38.0,38.0,0.2215,0.2215
477785,Bangalore,0.0,0.0,38.0,38.0,0.2215,0.2215
477786,Bangalore,0.0,0.0,38.0,38.0,0.2215,0.2215
487773,Bangalore,1.7544,0.0,112.0,114.0,0.0,0.0
477784,Chennai,7.6768,4.6768,35.0828,36.2228,0.8373,4.1139
477785,Chennai,7.7786,4.7786,35.0441,36.1841,0.8316,4.1117
477786,Chennai,7.8947,4.8947,35.0,36.14,0.8251,4.1091
477784,Delhi-NCR,1.212,0.0,37.5394,38.0,0.123,1.3514
477785,Delhi-NCR,1.1566,0.0,37.5605,38.0,0.2119,1.3845
477786,Delhi-NCR,0.9599,0.0,37.6352,38.0,0.5344,1.5088
477784,Hyderabad,5.2632,2.2632,36.0,37.14,1.4819,4.6955
477785,Hyderabad,5.0783,2.0783,36.0703,37.2103,1.4917,4.6994
477786,Hyderabad,5.2632,2.2632,36.0,37.14,1.4819,4.6955
487773,Hyderabad,6.1404,3.1404,107.0,110.42,0.0,0.0
487774,Hyderabad,6.1404,3.1404,107.0,110.42,0.0,0.0
477784,Kolkata,0.0,0.0,38.0,38.0,1.9656,1.9656
477785,Kolkata,5.167,2.167,36.0365,37.1765,-3.0405,0.0268
