category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
Almond Milk,Ahmedabad,2,168,150,0,target_gap_hit,0.01,0.0,False,-128415.0,128415.0,127777.0,1,0.25,1281.0,0
Almond Milk,Bangalore,3,252,213,0,target_gap_hit,0.01,0.0,False,-505075.0,505075.0,502337.0,1,0.03,5039.0,0
Almond Milk,Chennai,2,168,150,0,target_gap_hit,0.01,0.0,False,-102711.0,102711.0,101849.0,1,0.02,1025.0,0
Almond Milk,Delhi-NCR,2,168,150,0,target_gap_hit,0.01,0.0,False,-1171001.0,1171001.0,1164862.0,1,0.01,11680.0,0
Almond Milk,Hyderabad,3,252,213,0,target_gap_hit,0.01,0.0,False,-279283.0,279283.0,277696.0,1,0.02,2786.0,0
Almond Milk,Kolkata,4,336,276,0,target_gap_hit,0.01,0.0,False,-332988.0,332988.0,331305.0,1,0.03,3323.0,0
Almond Milk,Lucknow,2,168,150,0,target_gap_hit,0.01,0.0,False,-67774.0,67774.0,67463.0,1,0.02,676.0,0
Almond Milk,Mumbai,3,252,213,0,target_gap_hit,0.01,0.0,False,-567356.0,567356.0,564393.0,1,0.01,5659.0,0
Almond Milk,Others,2,168,150,0,target_gap_hit,0.01,0.0,False,-2543222.0,2543222.0,2530584.0,1,0.02,25365.0,0
Almond Milk,Pune,1,84,87,0,target_gap_hit,0.01,0.0,False,-28572.0,28572.0,28506.0,1,0.02,285.0,0
Curd,Ahmedabad,1,84,87,0,target_gap_hit,0.01,0.0,False,-64500.0,64500.0,64500.0,1,0.01,645.0,0
Curd,Bangalore,1,84,87,0,target_gap_hit,0.01,0.0,False,-1007700.0,1007700.0,1007700.0,1,0.02,10077.0,0
Curd,Chennai,1,84,87,0,target_gap_hit,0.01,0.0,False,-115800.0,115800.0,115800.0,1,0.01,1158.0,0
Curd,Delhi-NCR,1,84,87,0,target_gap_hit,0.01,0.0,False,-2702700.0,2702700.0,2702700.0,1,0.0,27027.0,0
Curd,Mumbai,1,84,87,0,target_gap_hit,0.01,0.0,False,-1445700.0,1445700.0,1445700.0,1,0.02,14457.0,0
Curd,Others,1,84,87,0,target_gap_hit,0.01,0.0,False,-779700.0,779700.0,779700.0,1,0.02,7797.0,0
Lassi,Ahmedabad,1,84,87,0,target_gap_hit,0.01,7e-06,False,-24057.0,24057.0,24057.0,1,0.01,241.0,0
Lassi,Bangalore,1,84,87,0,target_gap_hit,0.01,7e-06,False,-71927.0,71927.0,71928.0,1,0.0,719.0,0
Lassi,Chennai,1,84,87,0,target_gap_hit,0.01,7e-06,False,-23814.0,23814.0,23814.0,1,0.0,238.0,0
Lassi,Delhi-NCR,1,84,87,0,target_gap_hit,0.01,7e-06,False,-195857.0,195855.0,195858.0,1,0.02,1959.0,0
Lassi,Hyderabad,1,84,87,0,target_gap_hit,0.01,7e-06,False,-24543.0,24543.0,24543.0,1,0.01,245.0,0
Lassi,Kolkata,1,84,87,0,target_gap_hit,0.01,7e-06,False,-43254.0,43253.0,43254.0,1,0.0,433.0,0
Lassi,Lucknow,1,84,87,0,target_gap_hit,0.01,7e-06,False,-25712.0,25712.0,25712.0,1,0.0,257.0,0
Lassi,Mumbai,1,84,87,0,target_gap_hit,0.01,7e-06,False,-145070.0,145069.0,145071.0,1,0.01,1451.0,0
Lassi,Others,1,84,87,0,target_gap_hit,0.01,7e-06,False,-129275.0,129274.0,129276.0,1,0.02,1293.0,0
Lassi,Pune,1,84,87,0,target_gap_hit,0.01,7e-06,False,-46413.0,46412.0,46413.0,1,0.02,464.0,0
Milkshake,Ahmedabad,3,252,213,0,target_gap_hit,0.01,0.0,False,-8930.0,8930.0,8930.0,1,0.01,89.0,0
Milkshake,Bangalore,4,336,276,0,target_gap_hit,0.01,0.0,False,-54150.0,54150.0,54150.0,1,0.03,542.0,0
Milkshake,Chennai,3,252,213,0,target_gap_hit,0.01,0.0,False,-18478.0,18478.0,18023.0,1,0.01,185.0,0
