week,week_date,cell_id,confidence,scored,pred_net_rev_delta,actual_net_rev_delta,pred_units,actual_units,applied,week_action
W1,2026-08-10,132232_85g_Ahmedabad,Experimental,True,0.0,,470.8,,False,hold
W1,2026-08-10,132232_85g_Bangalore,Experimental,True,0.0,,2017.2,,False,hold
W1,2026-08-10,132232_85g_Chennai,Experimental,True,0.0,,417.8,,False,hold
W1,2026-08-10,132232_85g_Delhi-NCR,Experimental,True,0.0,,4625.0,,False,hold
W1,2026-08-10,132232_85g_Hyderabad,Experimental,True,0.0,,776.8,,False,hold
W1,2026-08-10,132232_85g_Kolkata,Experimental,True,0.0,,784.8,,False,hold
W1,2026-08-10,132232_85g_Lucknow,Experimental,True,0.0,,403.0,,False,hold
W1,2026-08-10,132232_85g_Mumbai,Experimental,True,0.0,,1627.8,,False,hold
W1,2026-08-10,132232_85g_Others,Experimental,True,0.0,,8083.8,,False,hold
W1,2026-08-10,132232_85g_Pune,Experimental,True,0.0,,868.8,,False,hold
W1,2026-08-10,132233_85g_Ahmedabad,Experimental,True,0.0,,208.5,,False,hold
W1,2026-08-10,132233_85g_Bangalore,Experimental,True,0.0,,741.0,,False,hold
W1,2026-08-10,132233_85g_Chennai,Experimental,True,0.0,,116.5,,False,hold
W1,2026-08-10,132233_85g_Delhi-NCR,Experimental,True,0.0,,1374.5,,False,hold
W1,2026-08-10,132233_85g_Hyderabad,Experimental,True,0.0,,282.8,,False,hold
W1,2026-08-10,132233_85g_Kolkata,Experimental,True,0.0,,315.0,,False,hold
W1,2026-08-10,132233_85g_Lucknow,Experimental,True,0.0,,133.2,,False,hold
W1,2026-08-10,132233_85g_Mumbai,Experimental,True,0.0,,804.5,,False,hold
W1,2026-08-10,132233_85g_Others,Experimental,True,0.0,,3602.2,,False,hold
W1,2026-08-10,132233_85g_Pune,Experimental,True,0.0,,329.5,,False,hold
W1,2026-08-10,294982_85g_Ahmedabad,Experimental,True,0.0,,1127.8,,False,hold
W1,2026-08-10,294982_85g_Bangalore,Experimental,True,0.0,,3136.2,,False,hold
W1,2026-08-10,294982_85g_Chennai,Experimental,True,0.0,,512.8,,False,hold
W1,2026-08-10,294982_85g_Delhi-NCR,Experimental,True,0.0,,9530.2,,False,hold
W1,2026-08-10,294982_85g_Hyderabad,Experimental,True,0.0,,1514.2,,False,hold
W1,2026-08-10,294982_85g_Kolkata,Experimental,True,0.0,,1362.8,,False,hold
W1,2026-08-10,294982_85g_Lucknow,Experimental,True,0.0,,712.2,,False,hold
W1,2026-08-10,294982_85g_Mumbai,Experimental,True,0.0,,3658.5,,False,hold
W1,2026-08-10,294982_85g_Others,Experimental,True,0.0,,17454.5,,False,hold
W1,2026-08-10,294982_85g_Pune,Experimental,True,0.0,,1802.8,,False,hold
W1,2026-08-10,332681_400g_Ahmedabad,Experimental,True,0.0,,195.2,,False,hold
W1,2026-08-10,332681_400g_Bangalore,Experimental,True,0.0,,1173.5,,False,hold
W1,2026-08-10,332681_400g_Chennai,Experimental,True,0.0,,341.2,,False,hold
W1,2026-08-10,332681_400g_Delhi-NCR,Experimental,True,0.0,,2738.8,,False,hold
W1,2026-08-10,332681_400g_Hyderabad,Experimental,True,0.0,,744.0,,False,hold
W1,2026-08-10,332681_400g_Kolkata,Experimental,True,0.0,,637.0,,False,hold
W1,2026-08-10,332681_400g_Lucknow,Experimental,True,0.0,,360.2,,False,hold
W1,2026-08-10,332681_400g_Mumbai,Experimental,True,0.0,,3193.2,,False,hold
W1,2026-08-10,332681_400g_Others,Experimental,True,0.0,,7888.0,,False,hold
W1,2026-08-10,332681_400g_Pune,Experimental,True,0.0,,809.2,,False,hold
W1,2026-08-10,354443_85g_Ahmedabad,Experimental,True,0.0,,121.0,,False,hold
W1,2026-08-10,354443_85g_Bangalore,Experimental,True,0.0,,643.2,,False,hold
W1,2026-08-10,354443_85g_Chennai,Experimental,True,0.0,,112.5,,False,hold
W1,2026-08-10,354443_85g_Delhi-NCR,Experimental,True,0.0,,1564.5,,False,hold
W1,2026-08-10,354443_85g_Hyderabad,Experimental,True,0.0,,188.8,,False,hold
W1,2026-08-10,354443_85g_Kolkata,Experimental,True,0.0,,440.2,,False,hold
W1,2026-08-10,354443_85g_Lucknow,Experimental,True,0.0,,92.5,,False,hold
W1,2026-08-10,354443_85g_Mumbai,Experimental,True,0.0,,646.0,,False,hold
W1,2026-08-10,354443_85g_Others,Experimental,True,0.0,,2612.5,,False,hold
W1,2026-08-10,354443_85g_Pune,Experimental,True,0.0,,289.8,,False,hold
W1,2026-08-10,365345_112g_Ahmedabad,Experimental,True,0.0,,113.8,,False,hold
W1,2026-08-10,365345_112g_Bangalore,Experimental,True,0.0,,168.5,,False,hold
W1,2026-08-10,365345_112g_Chennai,Experimental,True,0.0,,86.0,,False,hold
W1,2026-08-10,365345_112g_Delhi-NCR,Experimental,True,0.0,,868.5,,False,hold
W1,2026-08-10,365345_112g_Hyderabad,Experimental,True,0.0,,149.8,,False,hold
W1,2026-08-10,365345_112g_Kolkata,Experimental,True,0.0,,195.2,,False,hold
W1,2026-08-10,365345_112g_Lucknow,Experimental,True,0.0,,87.8,,False,hold
W1,2026-08-10,365345_112g_Mumbai,Experimental,True,0.0,,386.2,,False,hold
W1,2026-08-10,365345_112g_Others,Experimental,True,0.0,,1718.2,,False,hold
W1,2026-08-10,365345_112g_Pune,Experimental,True,0.0,,127.5,,False,hold
W1,2026-08-10,385787_3x112g_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385787_3x112g_Kolkata,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Ahmedabad,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Bangalore,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Chennai,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Delhi-NCR,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Hyderabad,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Kolkata,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Lucknow,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Mumbai,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Others,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,385793_3x400g_Pune,Experimental,True,0.0,,0.0,,False,hold
W1,2026-08-10,472127_80g_Ahmedabad,Experimental,True,0.0,,758.0,,False,hold
W1,2026-08-10,472127_80g_Bangalore,Experimental,True,0.0,,852.8,,False,hold
W1,2026-08-10,472127_80g_Chennai,Experimental,True,0.0,,370.8,,False,hold
W1,2026-08-10,472127_80g_Delhi-NCR,Experimental,True,0.0,,1461.5,,False,hold
W1,2026-08-10,472127_80g_Hyderabad,Experimental,True,0.0,,516.8,,False,hold
W1,2026-08-10,472127_80g_Kolkata,Experimental,True,0.0,,402.8,,False,hold
W1,2026-08-10,472127_80g_Lucknow,Experimental,True,0.0,,302.2,,False,hold
W1,2026-08-10,472127_80g_Mumbai,Experimental,True,0.0,,894.8,,False,hold
W1,2026-08-10,472127_80g_Others,Experimental,True,0.0,,17405.8,,False,hold
W1,2026-08-10,472127_80g_Pune,Experimental,True,0.0,,689.2,,False,hold
W1,2026-08-10,477780_1ltr_Ahmedabad,Experimental,True,0.0,,38.5,,False,hold
W1,2026-08-10,477780_1ltr_Bangalore,Experimental,True,0.0,,153.5,,False,hold
W1,2026-08-10,477780_1ltr_Chennai,Experimental,True,0.0,,33.8,,False,hold
W1,2026-08-10,477780_1ltr_Delhi-NCR,Experimental,True,0.0,,351.5,,False,hold
W1,2026-08-10,477780_1ltr_Hyderabad,Experimental,True,0.0,,87.5,,False,hold
W1,2026-08-10,477780_1ltr_Kolkata,Experimental,True,0.0,,86.8,,False,hold
W1,2026-08-10,477780_1ltr_Lucknow,Experimental,True,0.0,,16.2,,False,hold
W1,2026-08-10,477780_1ltr_Mumbai,Experimental,True,0.0,,185.2,,False,hold
W1,2026-08-10,477780_1ltr_Others,Experimental,True,0.0,,744.5,,False,hold
W1,2026-08-10,477784_180ml_Ahmedabad,Experimental,True,0.0,,3.2,,False,hold
W1,2026-08-10,477784_180ml_Bangalore,Experimental,True,0.0,,19.5,,False,hold
W1,2026-08-10,477784_180ml_Chennai,Experimental,True,0.0,,12.5,,False,hold
W1,2026-08-10,477784_180ml_Delhi-NCR,Experimental,True,0.0,,27.2,,False,hold
W1,2026-08-10,477784_180ml_Hyderabad,Experimental,True,0.0,,7.5,,False,hold
W1,2026-08-10,477784_180ml_Kolkata,Experimental,True,0.0,,4.5,,False,hold
W1,2026-08-10,477784_180ml_Lucknow,Experimental,True,0.0,,3.8,,False,hold
W1,2026-08-10,477784_180ml_Mumbai,Experimental,True,0.0,,31.8,,False,hold
W1,2026-08-10,477784_180ml_Others,Experimental,True,0.0,,69.2,,False,hold
W1,2026-08-10,477784_180ml_Pune,Experimental,True,0.0,,5.0,,False,hold
W1,2026-08-10,477785_180ml_Bangalore,Experimental,True,0.0,,64.0,,False,hold
W1,2026-08-10,477785_180ml_Chennai,Experimental,True,0.0,,9.0,,False,hold
W1,2026-08-10,477785_180ml_Delhi-NCR,Experimental,True,0.0,,115.5,,False,hold
W1,2026-08-10,477785_180ml_Hyderabad,Experimental,True,0.0,,19.5,,False,hold
W1,2026-08-10,477785_180ml_Kolkata,Experimental,True,0.0,,18.0,,False,hold
W1,2026-08-10,477785_180ml_Lucknow,Experimental,True,0.0,,5.2,,False,hold
W1,2026-08-10,477785_180ml_Mumbai,Experimental,True,0.0,,250.8,,False,hold
W1,2026-08-10,477785_180ml_Others,Experimental,True,0.0,,260.0,,False,hold
W1,2026-08-10,477785_180ml_Pune,Experimental,True,0.0,,10.0,,False,hold
W1,2026-08-10,477786_180ml_Ahmedabad,Experimental,True,0.0,,8.5,,False,hold
W1,2026-08-10,477786_180ml_Bangalore,Experimental,True,0.0,,35.2,,False,hold
W1,2026-08-10,477786_180ml_Chennai,Experimental,True,0.0,,17.8,,False,hold
W1,2026-08-10,477786_180ml_Delhi-NCR,Experimental,True,0.0,,62.8,,False,hold
W1,2026-08-10,477786_180ml_Hyderabad,Experimental,True,0.0,,18.2,,False,hold
