issued,apply_week,type,wave,product_id,cell_id,city,from_disc,to_disc,units_wk_now,pred_units_wk,strike_units_wk
2026-08-16,2026-08-17,GOVERNED CUT,,540432,540432_250ml_Chennai,Chennai,21.58,18.58,282.5,278.13,264.22
2026-08-16,2026-08-17,GOVERNED CUT,,540432,540432_250ml_Kolkata,Kolkata,17.67,14.67,506.2,498.36,473.45
2026-08-16,2026-08-17,GOVERNED CUT,,540438,540438_250ml_Ahmedabad,Ahmedabad,18.2,15.2,164.2,161.66,153.58
2026-08-16,2026-08-17,GOVERNED CUT,,540438,540438_250ml_Chennai,Chennai,18.61,15.61,204.8,201.63,191.55
2026-08-16,2026-08-17,GOVERNED CUT,,540438,540438_250ml_Kolkata,Kolkata,17.48,14.48,239.2,235.5,223.72
2026-08-16,2026-08-17,GOVERNED CUT,,560813,560813_250ml_Ahmedabad,Ahmedabad,17.21,14.21,194.2,191.19,181.63
2026-08-16,2026-08-17,GOVERNED CUT,,560813,560813_250ml_Chennai,Chennai,17.19,14.19,145.0,142.76,135.62
2026-08-16,2026-08-17,WAVE TEST,1,540432,540432_250ml_Others,Others,15.52,12.52,7204.8,7093.28,6738.61
2026-08-16,2026-08-17,WAVE TEST,1,540438,540438_250ml_Others,Others,16.88,13.88,3864.5,3804.68,3614.45
2026-08-16,2026-08-17,WAVE TEST,1,560813,560813_250ml_Others,Others,16.94,13.94,3751.5,3693.43,3508.76
2026-08-16,2026-08-17,WAVE TEST,1,540432,540432_250ml_Bangalore,Bangalore,15.55,12.55,1640.5,1615.11,1534.35
2026-08-16,2026-08-17,WAVE TEST,1,560813,560813_250ml_Mumbai,Mumbai,16.94,13.94,795.5,783.19,744.03
2026-08-16,2026-08-17,WAVE TEST,1,540432,540432_250ml_Hyderabad,Hyderabad,15.43,12.43,848.0,834.87,793.13
2026-08-16,2026-08-17,WAVE TEST,1,540432,540432_250ml_Pune,Pune,15.72,12.72,592.2,583.03,553.88
2026-08-16,2026-08-17,WAVE TEST,1,540432,540432_250ml_Ahmedabad,Ahmedabad,16.63,13.63,480.5,473.06,449.41
2026-08-16,2026-08-17,WAVE TEST,1,540438,540438_250ml_Hyderabad,Hyderabad,16.64,13.64,412.2,405.82,385.53
2026-08-16,2026-08-17,WAVE TEST,1,541681,541681_250ml_Hyderabad,Hyderabad,15.1,12.1,370.0,364.27,346.06
2026-08-16,2026-08-17,WAVE TEST,1,560813,560813_250ml_Hyderabad,Hyderabad,16.8,13.8,279.0,274.68,260.95
2026-08-16,2026-08-17,WAVE TEST,1,560813,560813_250ml_Kolkata,Kolkata,16.69,13.69,247.0,243.18,231.02
2026-08-16,2026-08-17,WAVE TEST,1,560813,560813_250ml_Pune,Pune,16.9,13.9,189.5,186.57,177.24
2026-08-16,2026-08-17,WAVE TEST,1,540438,540438_250ml_Pune,Pune,16.85,13.85,188.0,185.09,175.84
2026-08-16,2026-08-17,WAVE TEST,1,541681,541681_250ml_Pune,Pune,15.65,12.65,206.8,203.6,193.42
